createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_Token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,token_burn_ratio,lp_avg,lp_std,creator_holding_ratio,lp_lock_ratio,is_MEV,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull
20011236,2024-6-3,0xa1057899dbe0890bbe6b4b6836fef4cc1fdac0b3,700000000.0,10.01,10.01,38148.20808813914,2.647073856166464,1,700000000.0,10.01,0x8115def7d6ab9ab41ef618febcccf26ee9a54e8b,PEPEWIF,PEPEWIF,700000000.0,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x8115def7d6ab9ab41ef618febcccf26ee9a54e8b,PEPEWIF,PEPEWIF,700000000.0,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,10.01,700000000.0,1717442171,2024-06-03 19:16:11,1,31,1,0,779,25188,27,4,0.0,4.761904761904762,69.59105850473554,72.38,0.0,True,25188,burn,1717442171,2024-06-03 19:16:11,16.558104259846676,6.256e-15,-0.9999999999999996,6.996666666666667h,True
20011221,2024-6-3,0xae9372c042320e9dc6291ec301a7d77988141e08,1.5e-15,6.51e-07,1.5e-15,5.8689e-12,0.0,25,6.51e-07,1.5e-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xc63d2c6d2a2eec2f0e6190d632e35af836887488,Punch,PUNCH ,6.51e-07,25,0xc63d2c6d2a2eec2f0e6190d632e35af836887488,Punch,PUNCH ,6.51e-07,25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,1.0,750000000.0,1717417007,2024-06-03 12:16:47,1,23,1,0,52,204,21,2,0.0,5.0,60.07443549464281,56.32,0.0,True,204,burn,1717417007,2024-06-03 12:16:47,1.332907617615824,1.54e-15,-0.9999999999999988,0.056666666666666664h,True
20011185,2024-6-3,0x7f5bfa55f183e540a16adc24dcb0108add3a80bc,6.959207873455183,68539701939.54744,13.918415746910364,53036.97840220575,21.77950757019084,92,68539701939.54744,6.959207873455183,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xc0d24067443bfc8215463c19ddfd03e1c9f89dce,Wall Street Pepe,WSP,68539701939.54744,92,0xc0d24067443bfc8215463c19ddfd03e1c9f89dce,Wall Street Pepe,WSP,68539701939.54744,92,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,1.5,316231300000.0,1717432199,2024-06-03 16:29:59,1,94,1,0,123,15828,88,6,0.0,1.162790697674419,38.30375581196092,7.12,0.0,True,15828,burn,1717432199,2024-06-03 16:29:59,7.169207873455183,3.3e-16,-1.0,4.3966666666666665h,True
20011172,2024-6-3,0x41b0187b816d8232cafc6a7cbb20dad8a9f97660,6.505718894673287,3900120176.4820576,13.011437789346571,49584.719089176935,4.971779359545232,280,3900120176.4820576,6.505718894673287,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xdda2b124d02e7052219c9b5fc32e7b3e43ab817b,Elected Trump Fans,ETF,3900120176.4820576,280,0xdda2b124d02e7052219c9b5fc32e7b3e43ab817b,Elected Trump Fans,ETF,3900120176.4820576,280,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,1.5,16479060000.0,1717601915,2024-06-05 15:38:35,1,972,0,0,5602,0,539,433,0.0,1.0,60.03357144131942,0.0,0.0,True,185700,,0,1970-01-01 00:00:00,0.0,0.0,,0.0h,False
20011170,2024-6-3,0xf3c8a1f9a3bcf2e3194337f965dede33f56206b4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0x3c33096e31d39e7169abbc181c716f910b9998af,Next24 AI,N24AI,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x3c33096e31d39e7169abbc181c716f910b9998af,Next24 AI,N24AI,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,1.5,950000.0,1717683623,2024-06-06 14:20:23,1,581,0,0,19135,0,254,327,0.0,1.818181818181818,55.39350757821878,5.0,0.0,True,226284,,0,1970-01-01 00:00:00,0.0,0.0,,0.0h,False
20011157,2024-6-3,0x45f978b09840400920d28354fe4a608d33e03c2a,195501634923.30325,2.160607908778444,4.321215817556888,16467.58370726447,20.510728899773405,45,195501634923.30325,2.160607908778444,0xad5d6ef4ccd4b00a35a1c986f19c05b19bb13693,YEP,YEP,195501634923.30325,45,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xad5d6ef4ccd4b00a35a1c986f19c05b19bb13693,YEP,YEP,195501634923.30325,45,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,1.0,420690000000.0,1717417991,2024-06-03 12:33:11,1,57,0,0,663,0,46,11,0.0,50.0,70.69653598303101,99.99,0.0,True,1956,swap,1717417991,2024-06-03 12:33:11,3.8972747538851698,3.6491709629e-06,-0.9999990636608416,0.5433333333333333h,True
20011140,2024-6-3,0xd84b2c4477badee669dfc64cfb828c71be4e1924,1000000000.0,1.0000593203503785,1.0000593203503785,3812.400174748894,31622.7766016838,3,1000000000.0,1.0000593203503785,0x50e00438d51573f4da90f33216a5b1d2190e6b14,TrumpStop,TME,1000000000.0,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x50e00438d51573f4da90f33216a5b1d2190e6b14,TrumpStop,TME,1000000000.0,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,1.0,1000000000.0,1717419203,2024-06-03 12:53:23,1,3,0,0,1156,0,1,2,0.0,100.0,0.0,0.0,0.0,True,3372,,0,1970-01-01 00:00:00,0.0,0.0,,0.0h,False
20011052,2024-6-3,0x159b5f55d55d77d6a761496b3a69bf8f0072042c,1e-15,9.77e-07,2e-15,7.824e-12,0.0,20,9.77e-07,1e-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xf15c5115efac1609860526a6a7aa15313aaf7e8d,MOGA,MOGA,9.77e-07,20,0xf15c5115efac1609860526a6a7aa15313aaf7e8d,MOGA,MOGA,9.77e-07,20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,4.0,5950000000.0,1717414991,2024-06-03 11:43:11,1,18,1,0,62,216,16,2,0.0,9.090909090909092,63.83157846310013,68.03,0.0,True,216,burn,1717414991,2024-06-03 11:43:11,5.001338313245415,1.026e-15,-0.9999999999999996,0.06h,True
20011013,2024-6-3,0x64f2d1d28961855a02d534b09427a24b085d39cb,894462831.5326295,22.367329466090915,44.73465893218183,170465.5543285524,4.472135954999578,42,894462831.5326295,22.367329466090915,0x35d442720a40b276ea8032542edc8c9b4e318949,RONELDO@ERC7660,RONELDO,894462831.5326295,42,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x35d442720a40b276ea8032542edc8c9b4e318949,RONELDO@ERC7660,RONELDO,894462831.5326295,42,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,20.0,1000000000.0,1717666043,2024-06-06 09:27:23,1,60,0,0,5822,0,51,9,0.0,100.0,0.0,0.0,0.0,True,251736,swap,1717666043,2024-06-06 09:27:23,23.288950216210985,4.019e-15,-0.9999999999999998,69.92666666666666h,True
20011003,2024-6-3,0x425a516d731374b3f0bc436625a8ebd963259541,16772419.391810767,4.086626299057382,8.173252598114765,31157.648384371096,8236.133801730031,57,16772419.391810767,4.086626299057382,0xab58098e6b4c92a5638b52ec7b72176fba22663c,roaring kitty in a gamestop world,REKT,16772419.391810767,57,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xab58098e6b4c92a5638b52ec7b72176fba22663c,roaring kitty in a gamestop world,REKT,16772419.391810767,57,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,1.0,67833900.0,1717452923,2024-06-03 22:15:23,1,58,0,0,1902,0,39,19,0.0,100.0,0.0,100.0,0.0,True,38736,swap,1717452923,2024-06-03 22:15:23,3.28946979367742,1.375784179e-08,-0.9999999958176112,10.76h,True
