createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_Token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,token_burn_ratio,lp_avg,lp_std,creator_holding_ratio,lp_lock_ratio,is_MEV,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull
19739314,2024-4-26,0x8c2ccee0a99f2260de8f28f8c9fd54fd1832794d,489227260.0480376,1.780699163366246,3.561398326732492,13320.869494937671,0.8743443257664558,1483,489227260.0480376,1.780699163366246,0x24d56ce62d0593def9639229c4aa329dd8fd5730,Catgirl,CATGIRL,489227260.0480376,1483,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x24d56ce62d0593def9639229c4aa329dd8fd5730,Catgirl,CATGIRL,489227260.0480376,1483,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,1.0,780000000.0,1717646567,2024-06-06 04:02:47,1,1482,1,0,135220,1458636,797,685,0.0,1.2987012987012987,49.55698788316284,0.0,0.0,True,3514692,,0,1970-01-01 00:00:00,0.0,0.0,,0.0h,False
19739298,2024-4-26,0xb2df5e6a404832240c523c1d1bb4854da67619ce,0.00053893,0.0,0.0,6.4e-15,0.0,6,0.00053893,0.0,0x407bd7e37d6875d6f0f9e7bba3d3263fc06d3555,Half Brett,BRETT0.5,0.00053893,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x407bd7e37d6875d6f0f9e7bba3d3263fc06d3555,Half Brett,BRETT0.5,0.00053893,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,1.0,315517500000000.0,1714245923,2024-04-27 19:25:23,1,4,1,0,57,114240,4,0,0.0,16.666666666666668,56.225374165051136,53.97,0.0,True,114240,burn,1714245923,2024-04-27 19:25:23,1.0423977438434433,2e-18,-1.0,31.733333333333334h,True
19739279,2024-4-26,0x18df4b5291577441ca61ffc8f4076d90ec25f96a,1e-11,0.0,0.0,3.2e-15,0.0,2,1e-11,0.0,0x044e8c18dd263de8e8d0700720aff6b6f128d3ed,BounceBit USD,BBUSD,1e-11,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x044e8c18dd263de8e8d0700720aff6b6f128d3ed,BounceBit USD,BBUSD,1e-11,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,1.0,100000000.0,1714309163,2024-04-28 12:59:23,1,0,1,0,0,177624,0,0,0.0,100.0,0.0,100.0,0.0,True,177624,burn,1714309163,2024-04-28 12:59:23,1.0,1e-18,-1.0,49.34h,True
19739276,2024-4-26,0xd9e22b5ac7d1203d0d05ec4275ce8df3cb85c7e3,3e-09,4.489e-13,8.978e-13,2.6526629e-09,0.0,354,3e-09,4.489e-13,0x8a1ffb172bff8f585dc5ad19dc8566627b166e8c,BounceBit,BB,3e-09,354,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x8a1ffb172bff8f585dc5ad19dc8566627b166e8c,BounceBit,BB,3e-09,354,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,5.0,1565000.0,1715631335,2024-05-13 20:15:35,1,352,1,0,107867,1499916,352,0,0.0,100.0,0.0,100.0,0.0,True,1499916,burn,1715631335,2024-05-13 20:15:35,39.71358961058372,4.48949e-13,-0.9999999999999886,416.6433333333333h,True
19739252,2024-4-26,0xca300d8baed07477a7647710a5ce824075ba627f,0.0,1.1181e-12,0.0,3.2e-15,0.0,5,1.1181e-12,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0xc2caf1cd8686587a2bfcb9d340c8414754be3b7a,BounceBit BTC,BBTC,1.1181e-12,5,0xc2caf1cd8686587a2bfcb9d340c8414754be3b7a,BounceBit BTC,BBTC,1.1181e-12,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,1.0,2100000.0,1714309223,2024-04-28 13:00:23,1,3,1,0,72,177948,3,0,0.0,25.0,83.96713940584138,97.72,0.0,True,177948,burn,1714309223,2024-04-28 13:00:23,1.297029702970297,1e-18,-1.0,49.43h,True
19739224,2024-4-26,0x72f7e66276a2dce56365c15b61940af28cc49456,4280005512442623.0,3.55568130774e-05,7.11136261548e-05,0.2217924370769895,387298.33462074166,205,4280005512442623.0,3.55568130774e-05,0x9a020e4ae82e8ff6b82c1b88dc73990828c17bea,Neura,Neura,4280005512442623.0,205,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x9a020e4ae82e8ff6b82c1b88dc73990828c17bea,Neura,Neura,4280005512442623.0,205,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,15.0,10000000000.0,1714150367,2024-04-26 16:52:47,1,204,0,0,10181,0,146,58,0.0,50.0,43.92547324730833,0.0,0.0,True,19572,swap,1714150367,2024-04-26 16:52:47,27.524423722139662,3.55568130774e-05,-0.9999987081722967,5.4366666666666665h,True
19739161,2024-4-26,0xc393833b1d80a4afbfcff16458e7671a5114b842,1.6532e-05,0.0,0.0,1.909e-13,0.0,8,1.6532e-05,0.0,0x5ebdf3f9d4dd5e9566fa704ec7b84a086ef45dfe,BNY Mellon,MELLON,1.6532e-05,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x5ebdf3f9d4dd5e9566fa704ec7b84a086ef45dfe,BNY Mellon,MELLON,1.6532e-05,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,1.0,292600000000.0,1714130183,2024-04-26 11:16:23,1,6,1,0,66,144,3,3,0.0,50.0,38.02820269221253,76.89,0.0,True,144,burn,1714130183,2024-04-26 11:16:23,1.035127411863755,6.1e-17,-1.0,0.04h,True
19739153,2024-4-26,0x41c32e9f5e1b9f0505006b6edfe79b10b2fbd6f2,162157927644.1299,0.0050281983897604,0.0050281983897604,15.79208264296684,0.8948742928478827,106,162157927644.1299,0.0050281983897604,0xb00bedceb4aaf0f8c3656a6b8bd17cf14a603ed4,Book of Bitcoin,BOOB,162157927644.1299,106,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0xb00bedceb4aaf0f8c3656a6b8bd17cf14a603ed4,Book of Bitcoin,BOOB,162157927644.1299,106,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,1.0,800800000.0,1714134899,2024-04-26 12:34:59,1,105,0,0,1438,0,76,29,0.0,33.333333333333336,80.6579126103984,0.0,0.0,True,4824,swap,1714133963,2024-04-26 12:19:23,5.543147489069451,2.81983897604e-05,-0.9999949129281124,1.08h,True
19739152,2024-4-26,0xe07896092a38a0ca5b4ed6aa69099079ec86ee5e,1.0254e-05,0.0,1e-16,6.144e-13,0.0,71,1.0254e-05,0.0,0x6942022a73ee565d49256e003728cd8e0acd9528,Elon Classic,ELONC,1.0254e-05,71,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x6942022a73ee565d49256e003728cd8e0acd9528,Elon Classic,ELONC,1.0254e-05,71,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,1.0,499725996000.0,1714170911,2024-04-26 22:35:11,1,69,1,0,137,40980,57,12,0.0,2.0,43.03414690684596,39.2,0.0,True,40980,burn,1714170911,2024-04-26 22:35:11,2.1889648095055687,9.8e-17,-1.0,11.383333333333333h,True
19739123,2024-4-26,0x2113fedd00e3c825717026067633ce3a3df0685d,2000000026828103.2,2.641566175e-07,5.28313235e-07,0.0016503005167227,0.7211102550927968,54,2000000026828103.2,2.641566175e-07,0x3b3028b0122a329c7edea3327d903c722f4baa55,Puffer Finance,PFF,2000000026828103.2,54,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,0x3b3028b0122a329c7edea3327d903c722f4baa55,Puffer Finance,PFF,2000000026828103.2,54,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294793.8794623402,168239334,1.0,520000000.0,1714144271,2024-04-26 15:11:11,1,53,0,0,2576,0,42,11,0.0,100.0,0.0,0.0,0.0,True,14700,swap,1714144271,2024-04-26 15:11:11,19.633453102634597,2.64156617503e-07,-0.9999999865455854,4.083333333333333h,True
