active_period,mint_count,burn_count,swap_count,mint_mean_period,burn_mean_period,swap_mean_period,token_burn_ratio,swapIn,swapOut,lp_avg,lp_std,creator_holding_ratio,lp_lock_ratio,is_MEV,is_rugpull
284940,1,1,276,0,279216,159258,0.0,276,0,1.0,70.43530506784218,70.77,0.0,True,False
27180,1,1,24,0,27180,4026,0.0,20,4,4.761904761904762,63.28212167594829,66.4,0.0,True,True
18216,1,0,1083,0,0,1623,0.0,948,135,1.0,37.92404118761611,0.0,0.0,True,False
312,1,1,6,0,312,40,0.0,4,2,20.0,83.04965261817776,94.28,0.0,True,True
36144,1,0,36,0,0,1476,0.0,25,11,100.0,0.0,100.0,0.0,True,True
288396,2,1,4564,2976,42636,75619,2.32,2623,1941,1.0,16.673607887916756,0.0,2.32,True,False
3384,1,1,26,0,3384,885,0.0,19,7,7.6923076923076925,81.52779209947602,85.96,0.0,True,True
126432,1,0,209,0,0,1070,0.0,103,106,2.9411764705882355,78.71821390250166,0.0,0.0,True,False
276480,1,1,112,0,170172,22915,0.0,77,35,1.8867924528301887,19.19313821960809,11.85,0.0,True,True
81264,1,0,48,0,0,3752,0.0,46,2,50.0,43.92547324730833,0.0,0.0,True,True
1464,1,1,2,0,1464,402,0.0,2,0,50.0,70.69653598303101,99.99,0.0,True,True
228,1,1,83,0,228,64,0.0,33,50,8.333333333333334,65.755595199192,24.0,0.0,True,True
1488,1,1,18,0,1488,444,0.0,12,6,14.285714285714286,66.97359159720025,0.0,0.0,True,True
156300,1,0,486,0,0,4139,4.68,277,209,2.3255813953488373,50.503762949833984,0.0,4.68,True,False
12012,1,0,40,0,0,1293,0.0,25,15,100.0,0.0,0.0,0.0,True,True
96,1,1,1,0,96,36,0.0,1,0,33.333333333333336,43.63709965919672,63.17,0.0,True,True
186828,1,0,607,0,0,1728,0.0,333,274,1.5625,76.08028259674118,0.0,0.0,True,False
7500,1,1,21,0,7500,536,0.0,17,4,6.666666666666667,82.41538165496374,86.21,0.0,True,True
17928,1,0,48,0,0,1043,0.0,34,14,100.0,0.0,100.0,0.0,True,True
1128,1,0,119,0,0,252,0.0,50,69,5.882352941176471,77.35676182467826,3.95,0.0,True,False
4908,1,0,104,0,0,787,0.0,74,30,2.1739130434782608,39.9357445861746,0.0,0.0,True,False
70488,1,0,72,0,0,4594,0.0,67,5,50.0,43.92547324730833,0.0,0.0,True,True
7728,1,1,9,0,7728,3261,0.0,7,2,16.666666666666668,49.30625044893733,56.94,0.0,True,True
3852,1,0,134,0,0,813,0.0,81,53,100.0,0.0,0.0,0.0,True,True
290280,1,0,38,0,0,42323,0.0,35,3,50.0,70.35712472806148,0.0,0.0,True,True
18468,1,1,22,0,18468,688,0.0,20,2,5.2631578947368425,48.51821486497839,51.36,0.0,True,True
283560,1,0,3849,0,0,87995,0.0,2195,1654,1.0,32.23373698471836,0.0,0.0,True,False
179760,1,0,940,0,0,3804,0.0,515,425,1.2048192771084338,64.16793798354628,0.0,0.0,True,False
1512,1,1,41,0,1512,754,0.0,30,11,6.666666666666667,84.69186836212003,88.43,0.0,True,True
246288,1,0,348,0,0,14129,0.0,181,167,2.2222222222222223,54.26106840492957,0.0,0.0,True,False
97536,1,1,53,0,97536,11549,0.0,52,1,2.1739130434782608,20.30294249395992,12.7,0.0,True,True
20496,1,1,14,0,20496,522,0.0,13,1,9.090909090909092,65.39468361766534,70.23,0.0,True,True
48,1,1,34,0,48,13,0.0,20,14,6.25,59.78526992495727,61.15,0.0,True,True
8412,1,1,18,0,8412,67,0.0,16,2,6.666666666666667,48.77114447430297,52.59,0.0,True,True
1668,1,1,77,0,1668,22,0.0,65,12,1.694915254237288,44.85600978196037,10.36,0.0,True,True
2052,1,1,36,0,2052,742,0.0,26,10,6.25,48.82554556786847,0.0,0.0,True,True
60,1,1,72,0,60,18,0.0,42,30,3.4482758620689653,51.03387259187898,51.77,0.0,True,True
2136,1,1,117,0,2136,24,0.0,109,8,1.0,36.0071076316885,6.34,0.0,True,True
84,1,1,3,0,84,24,0.0,2,1,25.0,37.32784081620581,12.78,0.0,True,True
280176,1,0,328,0,0,7417,0.0,195,133,1.7857142857142858,61.575870157995226,1.99,0.0,True,False
67308,1,1,12,0,67308,3391,0.0,10,2,25.0,79.09230619978152,93.46,0.0,True,True
2544,1,1,302,0,2544,298,0.0,134,168,2.380952380952381,61.39726576043221,22.74,0.0,True,True
264,1,1,0,0,264,0,0.0,0,0,100.0,0.0,100.0,0.0,True,True
77280,1,1,194,0,77280,6444,0.0,192,2,3.0303030303030303,21.48069951177456,18.48,0.0,True,True
29664,1,0,47,0,0,3632,0.0,39,8,50.0,23.22845883824409,0.0,0.0,True,True
9240,1,1,9,0,48,1040,0.0,7,2,14.285714285714286,55.19272208750508,52.89,0.0,True,False
204,1,1,14,0,204,120,0.0,10,4,10.0,64.79009878060072,66.06,0.0,True,True
48,1,1,2,0,48,0,0.0,2,0,25.0,61.32200665340299,76.42,0.0,True,True
10476,1,1,17,0,10476,128,0.0,14,3,9.090909090909092,52.60617843077854,58.82,0.0,True,True
468,1,1,28,0,468,179,0.0,27,1,5.2631578947368425,59.86494673319622,14.58,0.0,True,True
1524,1,1,7,0,1524,288,0.0,7,0,12.5,80.31918388529604,0.0,0.0,True,True
96,1,1,20,0,96,16,0.0,14,6,7.6923076923076925,50.82396512246195,45.66,0.0,True,True
45480,1,1,27,0,45480,422,0.0,24,3,4.761904761904762,62.09061477274277,64.42,0.0,True,True
12924,1,1,125,0,12924,490,0.0,55,70,7.142857142857143,85.05333175635828,89.07,0.0,True,True
1464,1,1,16,0,1464,26,0.0,13,3,8.333333333333334,71.51432094343062,75.08,0.0,True,True
792,1,1,186,0,792,302,0.99,124,62,1.1235955056179776,33.6171031076194,34.15,0.99,True,True
12084,1,1,20,0,12084,196,0.0,17,3,6.25,43.63858842813319,45.94,0.0,True,True
1320,1,1,27,0,1188,562,0.0,20,7,6.25,81.87935148741715,85.43,0.0,True,True
299004,3,1,3133,68384,146520,74264,0.0,1795,1338,1.0,46.70548040647904,0.2,0.0,True,False
756,1,1,21,0,756,471,0.0,17,4,7.6923076923076925,66.1140819400015,0.0,0.0,True,True
2568,1,1,31,0,2568,148,0.0,27,4,4.166666666666667,57.44328594361572,53.01,0.0,True,True
192,1,1,25,0,192,63,0.0,19,6,5.555555555555555,49.685197326098375,42.06,0.0,True,True
288,1,1,23,0,288,86,0.0,13,10,20.0,55.16304378839151,67.5,0.0,True,True
4824,1,1,40,0,4824,1864,0.0,28,12,1.1363636363636365,16.817986313359988,17.47,0.0,True,True
120,1,1,84,0,120,9,0.0,66,18,1.6666666666666667,48.47634165239784,41.25,0.0,True,True
56712,1,1,0,0,56712,0,0.0,0,0,50.0,44.26488450227787,81.3,0.0,True,True
8952,1,0,45,0,0,1090,0.0,30,15,100.0,0.0,0.0,0.0,True,True
612,1,1,39,0,612,470,0.0,35,4,2.857142857142857,43.271935477859095,25.62,0.0,True,True
48,1,1,76,0,36,12,0.0,62,14,1.694915254237288,42.96044315729513,7.57,0.0,True,True
120,1,1,108,0,120,10,0.0,90,18,1.2048192771084338,38.138406787504366,28.91,0.0,True,True
7104,1,0,119,0,0,204,0.0,52,67,5.555555555555555,84.99957542377621,0.0,0.0,True,False
19500,1,0,50,0,0,1362,0.0,39,11,50.0,43.92547324730833,0.0,0.0,True,True
288,1,1,14,0,288,10,0.0,12,2,8.333333333333334,65.22199373422025,65.97,0.0,True,True
19740,1,0,48,0,0,1194,0.0,39,9,50.0,43.92547324730833,0.0,0.0,True,True
19872,1,0,46,0,0,1368,0.0,38,8,50.0,43.92547324730833,0.0,0.0,True,True
25860,1,1,25,0,25860,20,0.0,24,1,4.166666666666667,79.51250677304378,82.0,0.0,True,True
173652,1,0,514,0,0,2330,0.0,279,235,1.7543859649122806,80.51008401480016,0.0,0.0,True,False
2988,1,1,6,0,2988,262,0.0,4,2,33.333333333333336,80.0697899751627,98.71,0.0,True,True
15960,1,1,120,0,324,269,0.0,89,31,12.5,87.35520762953975,94.21,0.0,True,True
81936,1,0,46,0,0,3496,0.0,45,1,50.0,43.92547324730833,0.0,0.0,True,True
276,1,1,4,0,276,12,0.0,2,2,50.0,9.673220766631974,56.84,0.0,True,True
68304,1,0,715,0,0,1589,0.0,509,206,1.0,63.96716970446639,0.0,0.0,True,False
288,1,1,13,0,264,104,0.0,8,5,16.666666666666668,58.6731633713404,65.65,0.0,True,True
72,1,1,45,0,72,26,0.0,31,14,3.8461538461538463,45.72742881634444,43.0,0.0,True,True
271548,1,0,354,0,0,2458,0.0,185,169,1.5873015873015872,85.0740427463415,0.0,0.0,True,False
300,1,1,7,0,300,102,0.0,7,0,11.11111111111111,85.41158801161976,91.62,0.0,True,True
92988,1,1,67,0,92988,4233,0.0,54,13,9.090909090909092,28.74286235508977,19.59,0.0,True,True
156,1,1,44,0,156,54,0.0,28,16,4.545454545454546,52.30872532813761,52.35,0.0,True,True
672,1,1,10,0,672,147,0.0,7,3,25.0,50.42005751682559,58.24,0.0,True,True
384,1,1,238,0,264,125,0.59,164,74,1.0,17.38839555565723,17.61,0.59,True,False
1884,1,0,45,0,0,784,0.0,37,8,100.0,0.0,0.0,0.0,True,True
8220,1,1,20,0,8220,190,0.0,17,3,6.25,45.562989366370594,48.51,0.0,True,True
303048,1,0,4284,0,0,80299,3.57,2503,1781,1.0,10.449133935403449,3.48,3.57,True,False
246276,1,0,434,0,0,4168,0.0,217,217,2.083333333333333,73.72010670999691,0.0,0.0,True,False
216,1,1,74,0,216,106,0.0,30,44,9.090909090909092,51.104050453239736,39.07,0.0,True,True
299112,1,0,1809,0,0,17796,0.0,1009,800,1.0,50.06910724189117,0.0,0.0,True,False
1608,1,1,57,0,1608,141,0.0,30,27,16.666666666666668,62.522652961413385,69.9,0.0,True,True
7800,1,1,99,0,4956,1859,0.0,51,48,3.703703703703704,63.45149351772289,65.77,0.0,True,True
26532,2,2,2,768,1968,26394,86.54,1,1,50.0,51.675363569112896,13.46,86.54,True,True
33084,1,0,5,0,0,11517,0.0,3,2,50.0,70.68239384740728,0.0,0.0,True,False
3036,1,1,235,0,3036,221,0.0,101,134,2.857142857142857,60.37085318500739,19.72,0.0,True,True
108,1,1,25,0,108,10,0.0,24,1,4.166666666666667,47.48818730308975,50.47,0.0,True,True
291264,2,0,538,2352,0,34744,3.03,285,253,1.25,49.03424313681208,0.0,3.03,True,False
48,1,1,30,0,48,12,0.0,24,6,4.761904761904762,66.06928124181107,18.73,0.0,True,True
96,1,1,42,0,96,36,0.0,26,16,5.0,57.6183798800348,57.96,0.0,True,True
144,1,1,109,0,108,35,0.0,69,40,2.0,52.50838504467647,53.3,0.0,True,True
1020,1,1,68,0,1020,131,0.0,26,42,14.285714285714286,77.02969547982313,85.45,0.0,True,True
54972,1,0,30,0,0,3750,0.0,26,4,50.0,43.92547324730833,0.0,0.0,True,True
169284,1,0,53,0,0,10933,0.0,31,22,11.11111111111111,86.59439570010674,0.0,0.0,True,False
52332,1,0,88,0,0,1632,0.0,51,37,5.0,66.78155359079331,2.0,0.0,True,False
1116,1,1,7,0,1116,414,0.0,4,3,50.0,70.66825171178355,99.97,0.0,True,True
16152,1,0,140,0,0,2063,0.0,88,52,2.272727272727273,41.33263095688661,0.0,0.0,True,False
2436,1,0,51,0,0,1002,0.0,42,9,100.0,0.0,100.0,0.0,True,True
201180,1,0,947,0,0,1841,0.0,493,454,1.1363636363636365,76.06775496525808,0.0,0.0,True,False
9036,2,2,30,3294,5334,698,0.0,22,8,5.882352941176471,88.72704892965112,91.95,0.0,True,True
216,1,1,46,0,120,92,3.02,43,3,2.4390243902439024,41.22159814537198,28.56,3.02,True,False
768,1,1,20,0,768,279,0.0,13,7,12.5,56.39780137558556,45.52,0.0,True,True
624,1,1,20,0,84,48,0.0,15,5,8.333333333333334,53.1517271591432,45.1,0.0,True,True
83100,1,1,51,0,2484,3692,0.0,29,22,5.2631578947368425,67.04138513673945,69.75,0.0,True,True
3612,1,1,5,0,3612,787,0.0,5,0,20.0,84.80642782242393,95.84,0.0,True,True
2172,1,0,66,0,0,849,0.0,51,15,100.0,0.0,100.0,0.0,True,True
456,1,1,34,0,456,76,0.0,19,15,16.666666666666668,60.59596438707779,66.15,0.0,True,True
176664,1,0,689,0,0,2950,0.0,345,344,2.5,87.37092479766937,0.0,0.0,True,False
251892,1,0,535,0,0,2126,0.0,193,342,2.272727272727273,76.0134946153403,5.7,0.0,True,False
249144,1,0,195,0,0,3527,0.0,95,100,4.0,72.9015994337573,0.0,0.0,True,False
34416,1,1,13,0,34416,413,0.0,11,2,10.0,54.16712471601201,59.51,0.0,True,True
144,1,1,21,0,84,72,0.0,18,3,5.2631578947368425,53.26459928359645,51.66,0.0,True,True
309108,1,0,3935,0,0,33347,0.0,2232,1703,1.0,30.79885062790493,0.0,0.0,True,False
336,1,1,0,0,336,0,0.0,0,0,50.0,13.138043994446052,59.29,0.0,True,True
60,1,0,36,0,0,18,0.0,26,10,4.166666666666667,46.65485076602431,0.0,0.0,True,False
92076,1,1,47,0,92076,11551,0.0,44,3,2.5,19.2845871099176,13.7,0.0,True,True
168,1,1,12,0,168,3,0.0,12,0,7.142857142857143,64.20584308078422,64.15,0.0,True,True
252,1,0,6,0,0,92,0.0,3,3,100.0,0.0,0.0,0.0,True,True
132,1,1,77,0,132,54,0.0,51,26,2.5641025641025643,41.11190578696028,39.18,0.0,True,True
81276,1,0,338,0,0,2817,0.0,169,169,2.9411764705882355,70.3608891610205,0.0,0.0,True,False
4320,1,0,1,0,0,4320,0.0,1,0,50.0,14.142135623730953,40.0,0.0,True,False
42240,1,1,16,0,42240,346,0.0,15,1,6.666666666666667,62.01366381693635,65.42,0.0,True,True
108,1,1,2,0,108,12,0.0,1,1,50.0,19.021172413918134,63.45,0.0,True,True
62724,1,1,12,0,62724,3761,0.0,8,4,11.11111111111111,59.90310583675013,58.5,0.0,True,True
103236,1,0,295,0,0,1676,0.0,153,142,2.5,77.8253776091064,0.0,0.0,True,False
22020,1,0,213,0,0,1519,0.0,131,82,1.6666666666666667,26.634385669656435,0.0,0.0,True,True
1968,1,1,18,0,1968,376,0.0,15,3,6.666666666666667,85.1579446283982,88.92,0.0,True,True
43392,1,1,19,0,43392,776,0.0,17,2,7.142857142857143,67.70582397401276,71.85,0.0,True,True
89184,1,0,162,0,0,4780,3.94,84,78,5.2631578947368425,79.4358124525708,1.97,3.94,True,False
588,1,1,3,0,456,364,0.0,2,1,25.0,47.96539064784108,50.51,0.0,True,True
279132,1,0,284,0,0,49997,0.0,179,105,1.818181818181818,25.197739617239115,0.17,0.0,True,False
456,1,1,11,0,456,302,0.0,7,4,14.285714285714286,80.43409582651233,88.74,0.0,True,True
38304,1,1,36,0,38304,997,0.0,28,8,5.555555555555555,44.75189480780551,46.74,0.0,True,True
408,1,1,36,0,408,157,0.0,35,1,2.857142857142857,41.93737031063618,44.16,0.0,True,True
147768,1,1,1,0,147768,348,0.0,1,0,33.333333333333336,54.92773646650053,76.24,0.0,True,True
204,1,1,31,0,204,46,0.0,23,8,4.761904761904762,64.36161374460345,64.97,0.0,True,True
1272,1,1,23,0,1272,663,0.0,18,5,6.25,67.31872102171877,70.93,0.0,True,True
24912,1,0,37,0,0,1044,0.0,28,9,100.0,0.0,100.0,0.0,True,True
876,1,1,14,0,876,523,0.0,8,6,9.090909090909092,55.0199819074026,56.25,0.0,True,True
504,1,1,0,0,504,0,0.0,0,0,100.0,0.0,100.0,0.0,True,True
396,1,1,135,0,396,128,0.0,103,32,5.0,59.01095152596677,44.86,0.0,True,True
0,1,0,0,0,0,0,0.0,0,0,100.0,0.0,100.0,0.0,True,False
888,1,1,95,0,888,145,0.0,67,28,1.818181818181818,43.47041700450383,41.84,0.0,True,True
480,1,1,291,0,480,162,0.0,142,149,2.5641025641025643,71.76860162694534,73.39,0.0,True,True
193716,1,0,501,0,0,4593,0.0,255,246,2.702702702702702,76.4627557809789,0.0,0.0,True,False
36192,1,0,47,0,0,1837,0.0,37,10,50.0,43.92547324730833,0.0,0.0,True,True
180,1,1,0,0,180,0,0.0,0,0,50.0,14.283556979968262,60.1,0.0,True,True
6372,1,1,39,0,6372,1064,0.0,33,6,4.761904761904762,34.799538105856406,35.07,0.0,True,True
26664,1,0,45,0,0,1056,0.0,32,13,100.0,0.0,100.0,0.0,True,True
301128,2,0,1570,1296,0,46880,0.0,961,609,1.0,40.85162420271684,0.0,0.0,True,False
207324,1,0,252,0,0,3518,0.0,123,129,4.3478260869565215,78.48204303062498,5.0,0.0,True,False
492,1,1,133,0,492,147,27.54,93,40,1.96078431372549,34.00328545256513,17.53,27.54,True,True
269424,1,0,1856,0,0,21148,2.1,1102,754,1.0,50.72385237735792,0.0,2.1,True,False
244908,2,0,2117,588,0,18858,8.4,1181,936,1.0,45.0266621014705,0.0,8.4,True,False
6384,1,0,106,0,0,764,0.0,77,29,1.9230769230769231,31.44016710662186,0.0,0.0,True,False
