active_period,mint_count,burn_count,swap_count,mint_mean_period,burn_mean_period,swap_mean_period,token_burn_ratio,swapIn,swapOut,lp_avg,lp_std,creator_holding_ratio,lp_lock_ratio,is_MEV,is_rugpull
3188484,1,0,50,0,0,66707,0.0,45,5,50.0,70.56925676241745,0.0,0.0,True,True
1296,1,1,38,0,1296,589,0.0,29,9,4.545454545454546,66.25383117567272,69.07,0.0,True,True
35988,1,1,4,0,35988,561,0.0,2,2,50.0,68.51864709697645,98.45,0.0,True,True
1911384,1,0,75,0,0,85501,0.0,54,21,20.0,70.1263623753578,0.0,0.0,True,True
288,1,1,7,0,288,154,0.0,7,0,11.11111111111111,75.04737762832818,81.7,0.0,True,True
1368876,1,0,536,0,0,15763,0.0,282,254,1.6666666666666667,80.90563515602605,0.0,0.0,True,False
384,1,1,9,0,384,88,0.0,6,3,20.0,62.02403405132562,72.03,0.0,True,True
388380,1,1,29,0,388380,21984,0.0,22,7,6.25,32.496212086949456,34.83,0.0,True,True
55056,1,0,78,0,0,4335,0.0,58,20,50.0,43.92547324730833,0.0,0.0,True,True
576,1,1,12,0,576,329,0.0,12,0,9.090909090909092,59.14590579851891,52.38,0.0,True,True
227148,1,1,37,0,227148,4822,0.0,25,12,6.25,35.15602651040075,29.24,0.0,True,True
1920,1,1,48,0,1824,978,0.0,40,8,3.571428571428572,54.81719503430078,56.47,0.0,True,True
3411420,1,0,452,0,0,35236,0.0,239,213,2.4390243902439024,79.94083711736066,0.0,0.0,True,False
1815708,1,0,164,0,0,57117,0.0,71,93,8.333333333333334,71.86278197602243,0.0,0.0,True,False
216,1,1,20,0,192,88,0.0,14,6,10.0,60.42166416112684,55.14,0.0,True,True
2897712,1,0,1028,0,0,7938,0.0,539,489,1.1235955056179776,72.55923564597475,0.0,0.0,True,False
2741688,1,0,529,0,0,20381,0.0,283,246,1.818181818181818,81.9015739664496,0.0,0.0,True,False
684,1,1,5,0,684,304,0.0,3,2,25.0,64.58672928706021,79.2,0.0,True,True
27024,1,0,6,0,0,4974,0.0,5,1,50.0,0.0,0.0,0.0,True,True
36648,1,0,45,0,0,1587,0.0,36,9,50.0,43.92547324730833,0.0,0.0,True,True
3029484,1,1,97,0,3029484,11339,0.0,41,56,6.666666666666667,84.57583697487125,88.35,0.0,True,False
43632,1,0,50,0,0,3871,0.0,35,15,50.0,43.92547324730833,0.0,0.0,True,True
1980,1,0,32,0,0,523,0.0,26,6,100.0,0.0,0.0,0.0,True,True
336,1,1,6,0,336,134,0.0,5,1,25.0,60.00671129132141,74.39,0.0,True,True
22188,1,1,23,0,22188,1220,0.0,19,4,7.6923076923076925,82.874597620557,87.22,0.0,True,True
624,1,1,29,0,624,317,0.0,27,2,3.571428571428572,64.70741125581034,67.0,0.0,True,True
2327856,1,0,802,0,0,9114,0.0,496,306,1.851851851851852,75.92530813118123,0.0,0.0,True,False
72,1,1,13,0,72,12,0.0,10,3,11.11111111111111,66.72046137930002,18.83,0.0,True,True
2408616,1,0,1122,0,0,24691,0.0,620,502,1.1111111111111112,77.69339053827767,0.0,0.0,True,False
6660,1,0,144,0,0,2775,0.0,62,82,8.333333333333334,89.0741964132524,0.0,0.0,True,False
1220748,1,0,56,0,0,39297,0.0,39,17,33.333333333333336,59.697318756093786,0.0,0.0,True,True
648,1,1,4,0,648,354,0.0,4,0,20.0,85.06777709567825,96.08,0.0,True,True
1884,1,0,38,0,0,649,0.0,31,7,100.0,0.0,0.0,0.0,True,False
22152,1,0,8,0,0,4986,0.0,6,2,100.0,0.0,0.0,0.0,True,True
1740,1,1,35,0,1740,694,0.0,29,6,4.545454545454546,65.62046735861941,68.33,0.0,True,True
12840,1,1,16,0,12840,745,0.0,14,2,10.0,73.47879830263965,79.13,0.0,True,True
3300,1,1,31,0,3300,501,0.0,20,11,9.090909090909092,65.76267399451677,67.43,0.0,True,True
4992,1,0,142,0,0,512,0.0,70,72,100.0,0.0,0.0,0.0,True,True
168,1,1,59,0,168,8,0.0,53,6,2.0,41.15784250905289,36.13,0.0,True,True
11832,1,0,35,0,0,1915,0.0,28,7,100.0,0.0,0.0,0.0,True,True
120,1,1,8,0,120,0,0.0,8,0,10.0,68.23254355511014,21.6,0.0,True,True
8688,1,1,22,0,8688,415,0.0,19,3,5.555555555555555,81.41786693076375,84.61,0.0,True,True
15648,1,1,19,0,15648,1009,0.0,16,3,7.142857142857143,75.05079422821396,79.27,0.0,True,True
828,1,1,36,0,600,138,0.0,25,11,5.882352941176471,61.73836818285979,59.56,0.0,True,True
3286212,1,0,1577,0,0,46581,0.0,840,737,1.0,65.3193991092998,0.0,0.0,True,False
41964,1,0,53,0,0,1610,0.0,40,13,50.0,43.92547324730833,0.0,0.0,True,True
264,1,1,0,0,264,0,0.0,0,0,50.0,63.63961030678928,95.0,0.0,True,True
2361264,1,0,266,0,0,39104,0.0,133,133,3.8461538461538463,72.93802205666438,0.0,0.0,True,False
3029760,1,0,1318,0,0,13612,0.0,709,609,1.0,75.65355774846282,0.0,0.0,True,False
86844,1,1,460,0,86844,12660,0.0,381,79,1.3157894736842106,18.416104508368694,18.35,0.0,True,True
156,1,1,8,0,156,55,0.0,6,2,14.285714285714286,57.02357031463895,59.45,0.0,True,True
2805660,1,0,70,0,0,122505,0.0,59,11,33.333333333333336,80.74352523061319,0.0,0.0,True,True
3111504,1,1,256,0,309612,71372,0.0,144,112,1.0,33.270819046125105,2.0,0.0,True,False
3237180,1,0,2167,0,0,114793,0.0,1184,983,1.2048192771084338,62.62931163523683,0.0,0.0,True,False
180,1,1,2,0,180,90,0.0,1,1,50.0,36.85440543544286,76.06,0.0,True,True
18300,1,1,103,0,18300,163,0.0,75,28,1.639344262295082,45.77565576434421,7.49,0.0,True,True
46572,1,0,47,0,0,1782,0.0,36,11,50.0,43.92547324730833,0.0,0.0,True,True
8784,1,1,29,0,8784,969,0.0,24,5,6.666666666666667,68.06233637874425,72.11,0.0,True,True
1356,1,1,39,0,1356,496,0.0,34,5,3.4482758620689653,65.95966303943541,68.11,0.0,True,True
26148,1,0,50,0,0,2734,0.0,37,13,50.0,43.92547324730833,0.0,0.0,True,True
8376,1,1,25,0,8376,1190,0.0,21,4,7.142857142857143,71.86979427110829,75.81,0.0,True,True
3447108,14,11,22513,212547,650712,170218,0.0,12537,9976,1.0,43.202542749241054,0.0,0.0,True,False
1746936,1,2,1185,0,1004946,96383,0.0,1185,0,50.0,70.68239526218676,99.97,0.0,True,True
22908,1,1,92,0,22908,47,0.0,62,30,2.0408163265306123,50.87734205610469,10.89,0.0,True,True
26280,1,0,68,0,0,2884,0.0,54,14,50.0,43.92547324730833,0.0,0.0,True,True
9024,1,0,59,0,0,2168,0.0,51,8,100.0,0.0,0.0,0.0,True,True
569664,2,0,2,3534,0,288366,0.0,0,2,3.333333333333333,52.72275694612338,26.75,0.0,True,False
2784,1,1,16,0,2784,2480,0.0,14,2,6.666666666666667,74.6218797225943,77.78,0.0,True,True
14784,1,1,24,0,14784,420,0.0,20,4,5.555555555555555,79.0423155306349,82.28,0.0,True,True
28188,1,0,64,0,0,5074,0.0,54,10,50.0,43.92547324730833,0.0,0.0,True,True
47436,1,1,43,0,47436,3436,0.0,42,1,20.0,38.13797320257069,27.91,0.0,True,True
510216,1,0,50,0,0,31742,0.0,38,12,33.333333333333336,58.87366870398571,0.0,0.0,True,True
3202044,3,1,1756,7072,12324,25289,0.0,933,823,1.0,69.85594606044641,0.0,0.0,True,False
481272,1,0,49,0,0,20740,0.0,38,11,33.333333333333336,59.697318756093786,0.0,0.0,True,True
4512,1,1,20,0,4512,370,0.0,17,3,6.25,84.33936447472202,87.86,0.0,True,True
2985156,1,0,1343,0,0,21253,0.0,768,575,1.075268817204301,75.2944628045931,0.0,0.0,True,False
7812,1,1,390,0,5112,839,0.0,212,178,1.408450704225352,61.6625683018269,62.51,0.0,True,True
7632,1,0,41,0,0,2260,0.0,35,6,33.333333333333336,80.71906135892975,0.0,0.0,True,True
30456,1,0,44,0,0,2532,0.0,33,11,50.0,43.92547324730833,0.0,0.0,True,True
30828,1,0,40,0,0,3455,0.0,35,5,50.0,43.92547324730833,0.0,0.0,True,True
71148,1,1,22,0,71148,1962,0.0,10,12,25.0,61.50210240308863,77.19,0.0,True,True
1782576,1,1,60,0,6600,31072,0.0,58,2,20.0,37.82268366998831,16.18,0.0,True,True
864,1,1,18,0,756,266,0.0,16,2,11.11111111111111,64.04982366182682,69.42,0.0,True,True
2695980,1,0,924,0,0,18492,0.0,507,417,1.9230769230769231,79.89645717571445,0.0,0.0,True,False
31464,1,0,46,0,0,3412,0.0,29,17,50.0,43.92547324730833,0.0,0.0,True,True
21072,1,0,45,0,0,3495,0.0,33,12,50.0,43.92547324730833,0.0,0.0,True,True
672,1,1,79,0,672,139,0.0,70,9,1.4492753623188406,27.23764424042791,20.41,0.0,True,True
4488,1,1,18,0,4488,1026,0.0,17,1,9.090909090909092,50.57376817355741,56.18,0.0,True,True
28200,1,0,51,0,0,1357,0.0,38,13,50.0,43.92547324730833,0.0,0.0,True,True
70740,1,3,50,0,60348,46616,0.0,37,13,25.0,86.29077470969884,99.73,0.0,True,True
3415572,1,1,333,0,2180964,41363,0.0,197,136,7.142857142857143,86.66571549844346,5.0,0.0,True,False
23808,1,0,52,0,0,1188,0.0,37,15,50.0,43.92547324730833,0.0,0.0,True,True
2796,1,1,14,0,2796,780,0.0,13,1,9.090909090909092,68.94164324069504,74.31,0.0,True,True
636,1,1,67,0,228,66,0.0,37,30,4.3478260869565215,51.18919128437003,51.6,0.0,True,True
2952,1,0,90,0,0,1065,0.0,68,22,100.0,0.0,0.0,0.0,True,True
960,1,1,64,0,420,107,0.0,38,26,4.0,73.84357588849554,76.33,0.0,True,True
1824,1,1,1,0,1824,0,0.0,1,0,20.0,35.855613228614565,0.25,0.0,False,True
576,1,1,54,0,192,70,0.0,36,18,4.0,49.130176063189495,47.38,0.0,True,True
876,1,1,89,0,876,93,0.0,81,8,1.2345679012345678,29.364672968015803,24.18,0.0,True,True
72,1,1,20,0,72,18,0.0,18,2,5.2631578947368425,48.43900260827228,39.28,0.0,True,True
1068,1,1,66,0,192,112,1.16,48,18,3.571428571428572,58.22010367071302,59.74,1.16,True,True
4836,1,0,213,0,0,1294,0.0,115,98,1.818181818181818,18.459828621286636,0.0,0.0,True,False
35412,1,0,214,0,0,2159,0.0,132,82,1.351351351351351,37.73974118704135,0.0,0.0,True,False
3852,1,0,84,0,0,1551,0.0,66,18,50.0,0.0,50.0,0.0,True,True
5916,1,1,54,0,5916,2126,0.0,45,9,4.3478260869565215,49.76715373923194,51.95,0.0,True,True
112668,1,1,65,0,492,2082,0.0,62,3,1.5873015873015872,44.349643598360366,45.48,0.0,True,True
1200,1,1,21,0,1200,373,0.0,16,5,7.142857142857143,64.28579380947463,68.36,0.0,True,True
65136,1,0,253,0,0,7664,0.0,179,74,100.0,0.0,0.0,0.0,True,True
1267440,1,1,92,0,175704,133220,0.0,63,29,3.571428571428572,90.28036370899586,92.03,0.0,True,False
174648,1,0,107,0,0,17334,0.0,87,20,100.0,0.0,0.0,0.0,True,True
164352,1,1,30,0,164352,285,0.0,23,7,4.0,53.86327969962469,30.53,0.0,True,True
540,1,1,62,0,540,134,0.0,40,22,3.225806451612903,54.72545238469647,57.05,0.0,True,True
25236,1,1,15,0,25236,505,0.0,13,2,8.333333333333334,76.10589661780486,80.9,0.0,True,True
5028,1,1,25,0,5028,1188,0.0,23,2,6.25,66.09206457661917,69.64,0.0,True,True
26772,1,0,57,0,0,1664,0.0,45,12,50.0,43.92547324730833,0.0,0.0,True,True
876,1,1,6,0,876,330,0.0,6,0,12.5,79.76455227731176,87.04,0.0,True,True
44544,1,1,20,0,44544,870,0.0,17,3,9.090909090909092,76.31414589469217,81.72,0.0,True,True
358032,1,1,86,0,358032,311798,0.0,82,4,1.7543859649122806,39.30412783553759,38.23,0.0,True,True
26820,1,0,51,0,0,1189,0.0,38,13,50.0,43.92547324730833,0.0,0.0,True,True
2097960,1,0,482,0,0,22224,2.39,250,232,2.1739130434782608,80.35006993855349,3.0,2.39,True,False
1668,1,1,48,0,1668,529,0.0,35,13,2.857142857142857,49.49084518517397,50.31,0.0,True,True
4956,1,1,80,0,4956,57,0.0,66,14,1.6129032258064515,42.055549900332494,7.09,0.0,True,True
41244,1,1,30,0,41244,1458,0.0,24,6,6.666666666666667,68.06753435620637,71.12,0.0,True,True
8016,1,0,58,0,0,1815,0.0,49,9,100.0,0.0,0.0,0.0,True,True
62724,1,0,45,0,0,2334,0.0,30,15,100.0,0.0,0.0,0.0,True,True
5508,1,1,40,0,5508,1593,0.0,37,3,4.545454545454546,60.16180886122479,62.82,0.0,True,True
11076,1,3,28,0,4032,2866,0.0,22,6,11.11111111111111,62.319033119015,65.82,0.0,True,True
780,3,0,6,324,0,294,0.0,4,2,25.0,84.21753617863682,0.0,0.0,True,True
8040,1,1,29,0,8040,1029,0.0,26,3,5.882352941176471,67.82637175820591,71.04,0.0,True,True
3456624,7,6,4986,738925,873406,175401,0.0,2809,2177,1.0,49.807762447233074,0.0,0.0,True,False
3948,1,1,38,0,3948,1427,0.0,35,3,3.703703703703704,42.07126621271031,43.21,0.0,True,True
2388,1,1,37,0,2388,672,0.0,30,7,4.761904761904762,61.06524368013515,63.95,0.0,True,True
48876,1,1,32,0,48876,1446,0.0,26,6,6.25,72.21627101976395,76.04,0.0,True,True
20184,1,0,128,0,0,1031,0.0,72,56,2.7777777777777777,33.2201267640902,0.0,0.0,True,False
5520,1,0,657,0,0,2220,0.0,287,370,1.3888888888888888,33.84440803966816,1.56,0.0,True,False
81276,1,1,57,0,81276,8234,0.0,46,11,4.166666666666667,61.2410170283501,63.2,0.0,True,True
11460,1,1,16,0,11460,1111,0.0,16,0,5.555555555555555,83.05102186808621,86.24,0.0,True,True
10992,1,1,23,0,10992,607,0.0,23,0,4.761904761904762,25.45001103938389,27.35,0.0,True,True
900,1,1,7,0,900,341,0.0,5,2,20.0,69.13496221160463,80.65,0.0,True,True
8208,1,1,36,0,8208,1775,0.0,31,5,5.2631578947368425,64.17108559402583,67.23,0.0,True,True
70812,1,0,42,0,0,2733,0.0,27,15,100.0,0.0,0.0,0.0,True,True
2796,1,1,23,0,2796,1311,0.0,22,1,5.0,44.70783376545994,44.91,0.0,True,True
0,1,0,0,0,0,0,0.0,0,0,100.0,0.0,0.0,0.0,True,False
3432,1,1,9,0,3432,1022,0.0,8,1,11.11111111111111,60.9054930928967,60.19,0.0,True,True
147384,1,1,4,0,147384,50850,0.0,4,0,16.666666666666668,67.12255011047579,77.26,0.0,True,True
54108,4,1,1,849,54108,192,0.0,1,0,50.0,70.51268821992252,99.86,0.0,True,True
7572,1,1,25,0,7572,1516,0.0,22,3,8.333333333333334,76.37081968919804,81.36,0.0,True,True
5016,1,0,194,0,0,700,0.0,118,76,1.2820512820512822,29.278498455263573,0.0,0.0,True,False
9156,1,1,30,0,9156,807,0.0,26,4,5.0,82.17236700984097,85.04,0.0,True,True
7944,1,1,33,0,7944,1293,0.0,28,5,6.666666666666667,70.77571311309174,74.76,0.0,True,True
2232,1,1,37,0,2232,1262,0.0,29,8,4.0,61.43700025229095,63.85,0.0,True,True
2724,1,1,14,0,2724,482,0.12,6,8,20.0,86.18714347279413,97.08,0.12,True,True
9672,1,1,45,0,9672,1258,0.0,44,1,25.0,41.12839165345516,12.5,0.0,True,True
57228,1,0,57,0,0,11610,0.0,45,12,50.0,43.92547324730833,0.0,0.0,True,True
19956,1,1,28,0,19956,337,0.0,22,6,4.3478260869565215,63.42107405888525,66.07,0.0,True,True
11496,1,1,15,0,11496,1068,0.0,14,1,6.666666666666667,37.27361712167647,40.19,0.0,True,True
2499348,1,0,720,0,0,70594,0.0,386,334,2.9411764705882355,78.30106877040848,0.0,0.0,True,False
9720,1,0,271,0,0,2531,0.0,139,132,100.0,0.0,0.0,0.0,True,True
4032,2,0,6,1806,0,1880,0.0,4,2,33.333333333333336,70.79636195926078,8.99,0.0,True,False
320508,1,0,63,0,0,21913,0.0,52,11,25.0,65.56134913193901,0.0,0.0,True,True
88752,1,1,51,0,1872,4144,0.0,37,14,4.0,73.87139568195526,76.06,0.0,True,True
10308,1,0,242,0,0,2294,0.0,138,104,1.3333333333333333,29.16060470337792,0.0,0.0,True,False
2198544,2,2,11,144,336,200004,0.0,9,2,14.285714285714286,71.38192318187326,79.88,0.0,True,True
3487068,1,0,1982,0,0,242253,2.87,1114,868,1.0,27.42520738298982,2.38,2.87,True,False
83220,1,0,41,0,0,7471,0.0,34,7,100.0,0.0,0.0,0.0,True,True
12072,1,1,51,0,12072,2576,0.0,40,11,3.225806451612903,67.34924436197508,69.28,0.0,True,True
3512496,1,0,2538,0,0,466870,0.0,1465,1073,1.0,14.401409653224924,0.0,0.0,True,False
8292,1,1,72,0,8292,60,0.0,52,20,2.272727272727273,43.74452277402594,41.82,0.0,True,True
45120,1,0,50,0,0,1545,0.0,37,13,50.0,43.92547324730833,0.0,0.0,True,True
229116,1,1,182,0,372,1788,0.0,107,75,1.5151515151515151,51.20943509182896,52.03,0.0,True,True
3509952,1,0,1134,0,0,1802465,0.0,683,451,1.0,47.34054076581715,0.0,0.0,True,False
1524,1,1,7,0,1524,735,0.0,5,2,20.0,78.45834181270976,89.81,0.0,True,True
2359104,1,0,1438,0,0,59268,0.0,613,825,1.0,77.62089667093521,0.0,0.0,True,False
45924,1,0,55,0,0,1759,0.0,43,12,50.0,43.92547324730833,0.0,0.0,True,True
1272,1,1,15,0,1272,451,0.0,12,3,9.090909090909092,43.12417893816541,43.46,0.0,True,True
660,1,1,35,0,660,330,0.0,29,6,3.571428571428572,50.428124805792365,48.59,0.0,True,True
20844,1,1,20,0,20844,1020,0.0,17,3,6.666666666666667,70.8463094780996,73.59,0.0,True,True
57312,1,0,55,0,0,3537,0.0,43,12,50.0,43.92547324730833,0.0,0.0,True,True
564,1,1,5,0,564,213,0.0,5,0,16.666666666666668,76.57615773420166,86.32,0.0,True,True
57588,1,0,56,0,0,4149,0.0,41,15,50.0,43.92547324730833,0.0,0.0,True,True
28176,1,1,3,0,28176,13944,0.0,2,1,50.0,65.26630064589229,96.0,0.0,True,True
3514692,1,1,1482,0,1458636,135220,0.0,797,685,1.2987012987012987,49.55698788316284,0.0,0.0,True,False
114240,1,1,4,0,114240,57,0.0,4,0,16.666666666666668,56.225374165051136,53.97,0.0,True,True
177624,1,1,0,0,177624,0,0.0,0,0,100.0,0.0,100.0,0.0,True,True
1499916,1,1,352,0,1499916,107867,0.0,352,0,100.0,0.0,100.0,0.0,True,True
177948,1,1,3,0,177948,72,0.0,3,0,25.0,83.96713940584138,97.72,0.0,True,True
19572,1,0,204,0,0,10181,0.0,146,58,50.0,43.92547324730833,0.0,0.0,True,True
144,1,1,6,0,144,66,0.0,3,3,50.0,38.02820269221253,76.89,0.0,True,True
4824,1,0,105,0,0,1438,0.0,76,29,33.333333333333336,80.6579126103984,0.0,0.0,True,True
40980,1,1,69,0,40980,137,0.0,57,12,2.0,43.03414690684596,39.2,0.0,True,True
14700,1,0,53,0,0,2576,0.0,42,11,100.0,0.0,0.0,0.0,True,True
228,1,1,10,0,228,31,0.0,10,0,8.333333333333334,58.68768241008215,58.4,0.0,True,True
1432716,1,0,155,0,0,48782,0.0,127,28,50.0,70.69653598303101,0.0,0.0,True,True
744,2,1,22,222,744,169,0.0,14,8,9.090909090909092,50.54362634038406,0.0,0.0,True,True
444,1,1,8,0,444,201,0.0,8,0,11.11111111111111,67.47228772697062,74.66,0.0,True,True
1719504,1,0,49,0,0,81623,0.0,40,9,50.0,69.98942920184447,0.0,0.0,True,True
4344,1,0,159,0,0,1100,0.0,94,65,100.0,0.0,0.0,0.0,True,True
468,1,0,9,0,0,88,0.0,8,1,50.0,19.79898987322333,0.0,0.0,True,True
708,1,1,3,0,708,64,0.0,3,0,20.0,52.139967395463536,54.96,0.0,True,True
14160,1,0,61,0,0,2648,0.0,47,14,50.0,43.92547324730833,0.0,0.0,True,True
0,1,0,0,0,0,0,0.0,0,0,100.0,0.0,0.0,0.0,True,False
230940,1,2,35,0,187398,15797,0.0,30,5,5.2631578947368425,38.85808836753228,37.23,0.0,True,True
1116,1,1,21,0,1116,434,0.0,20,1,5.0,55.31080003037381,58.22,0.0,True,True
8184,1,1,20,0,8184,343,0.0,17,3,6.25,75.66100713048961,79.36,0.0,True,True
143796,1,1,508,0,143796,8847,0.0,416,92,3.225806451612903,90.42492551746288,5.91,0.0,True,True
5904,1,0,57,0,0,1856,0.0,45,12,50.0,43.92547324730833,0.0,0.0,True,True
120,1,1,1,0,120,0,0.0,1,0,33.333333333333336,41.30383113788195,57.85,0.0,True,True
19512,1,1,12,0,19512,2510,0.0,6,6,33.333333333333336,68.45397066642666,88.9,0.0,True,True
14268,1,1,40,0,14268,1599,0.0,38,2,2.702702702702702,32.49693819257273,31.93,0.0,True,True
1534740,1,1,64,0,1534740,1019,0.0,54,10,1.851851851851852,49.46991113199423,7.37,0.0,True,True
7008,1,0,54,0,0,1984,0.0,40,14,50.0,43.92547324730833,0.0,0.0,True,True
1450992,1,1,10,0,456,145176,0.0,9,1,9.090909090909092,56.80274089097527,57.09,0.0,True,True
732,1,1,16,0,732,264,0.0,14,2,9.090909090909092,51.05611903493146,55.27,0.0,True,True
708372,1,0,39,0,0,22072,0.0,17,22,50.0,70.55511462679371,0.0,0.0,True,False
312,1,1,12,0,252,103,0.0,9,3,10.0,47.80134412336121,21.81,0.0,True,True
216,1,1,138,0,216,64,0.0,88,50,1.5151515151515151,48.00009643298398,48.39,0.0,True,True
4728,1,1,19,0,4728,363,0.0,17,2,5.882352941176471,77.36178160397533,80.82,0.0,True,True
1428,1,1,53,0,1428,72,0.0,43,10,2.5,45.85896313699212,42.35,0.0,True,True
1992984,1,0,1163,0,0,20219,1.5,650,513,1.020408163265306,67.02717520772102,3.12,1.5,True,False
1044,1,0,16,0,0,277,0.0,13,3,100.0,0.0,100.0,0.0,True,True
744,1,1,2,0,744,252,0.0,2,0,25.0,48.70374831570975,56.37,0.0,True,True
480,1,1,26,0,480,9,0.0,25,1,3.8461538461538463,46.95344969713662,36.05,0.0,True,True
49176,1,1,8,0,49176,148,0.0,7,1,12.5,85.56264430228883,92.51,0.0,True,True
1044,1,1,1,0,1044,96,0.0,1,0,50.0,70.21570337182418,99.65,0.0,True,True
15132,1,0,45,0,0,1347,0.0,28,17,100.0,0.0,0.0,0.0,True,True
120,1,1,15,0,120,50,0.0,10,5,14.285714285714286,56.803394013285605,51.76,0.0,True,True
1596,1,0,17,0,0,633,0.0,12,5,100.0,0.0,0.0,0.0,True,True
384,1,1,16,0,348,153,0.0,11,5,11.11111111111111,53.9592621026888,55.13,0.0,True,True
3143496,1,1,81,0,3143496,13251,0.0,29,52,20.0,86.08342813805686,96.99,0.0,True,True
24540,1,0,86,0,0,6248,0.0,59,27,50.0,43.92547324730833,0.0,0.0,True,True
17076,1,1,27,0,17076,1087,0.0,23,4,5.2631578947368425,45.92436195585771,45.51,0.0,True,True
420,1,1,5,0,420,64,1.5,4,1,20.0,63.55472523738892,76.45,1.5,True,True
61740,1,0,63,0,0,6110,0.0,52,11,50.0,70.47026181305132,0.0,0.0,True,True
300,1,0,6,0,0,144,0.0,4,2,100.0,0.0,0.0,0.0,True,True
1872,2,0,34,108,0,852,0.0,28,6,100.0,0.0,0.0,0.0,True,True
3578712,1,0,78,0,0,1074674,0.0,60,18,20.0,67.89841677093804,0.0,0.0,True,True
20904,1,1,20,0,20904,914,0.0,17,3,8.333333333333334,73.80888857944777,78.41,0.0,True,True
1644,1,1,30,0,1644,630,0.0,27,3,4.545454545454546,58.00021167672972,60.75,0.0,True,True
732,1,1,4,0,732,255,0.0,4,0,16.666666666666668,66.120979272845,74.0,0.0,True,True
451404,1,0,41,0,0,13364,0.0,32,9,33.333333333333336,59.71083039672676,0.0,0.0,True,True
588,1,1,7,0,588,293,0.0,6,1,14.285714285714286,54.10242297188336,59.57,0.0,True,True
1025124,1,1,29,0,1025124,64031,0.0,28,1,3.571428571428572,26.709333039755435,27.4,0.0,True,True
3342108,1,0,1605,0,0,33857,0.0,870,735,1.2820512820512822,64.24419452969458,3.95,0.0,True,False
23088,1,1,27,0,23088,904,0.0,22,5,6.666666666666667,73.7967280214148,77.84,0.0,True,True
3576,1,0,156,0,0,1158,0.0,79,77,5.555555555555555,86.8367713330911,0.0,0.0,True,False
2991816,1,0,84,0,0,87782,0.0,63,21,25.0,66.50161877728992,0.0,0.0,True,True
624,1,1,9,0,624,2,0.0,9,0,9.090909090909092,57.1953827602448,57.42,0.0,True,True
348,1,1,4,0,348,39,0.0,4,0,16.666666666666668,57.20733810739085,58.93,0.0,True,True
2923116,1,1,31,0,4092,813602,0.0,24,7,5.555555555555555,83.010704396749,86.15,0.0,True,True
48636,1,1,39,0,48636,1032,0.0,38,1,50.0,50.59645244481079,34.03,0.0,True,True
16776,1,0,44,0,0,2029,0.0,33,11,50.0,43.92547324730833,0.0,0.0,True,True
3501888,1,0,4579,0,0,73364,0.0,2509,2070,1.0,50.869246111968266,0.0,0.0,True,False
1026852,1,1,30,0,1026852,14430,0.0,29,1,3.703703703703704,27.9635008140572,27.76,0.0,True,True
2232,1,0,47,0,0,1071,0.0,39,8,50.0,12.487505755754428,41.17,0.0,True,True
3403524,1,0,219,0,0,265174,0.0,108,111,5.0,75.82043458065908,0.0,0.0,True,False
42972,1,1,25,0,14136,2155,0.0,20,5,5.555555555555555,84.31941696772918,87.46,0.0,True,True
240,1,1,36,0,240,126,0.0,21,15,12.5,68.65835637415158,16.86,0.0,True,True
14904,1,0,52,0,0,1778,0.0,39,13,50.0,43.92547324730833,0.0,0.0,True,True
95280,1,0,58,0,0,3771,0.0,52,6,25.0,61.71377641985621,0.0,0.0,True,True
708,1,1,21,0,708,249,0.0,20,1,4.761904761904762,64.44683844622857,67.28,0.0,True,True
3438096,1,0,1305,0,0,36677,1.48,711,594,1.0,72.07807086763627,0.0,1.48,True,False
9864,1,0,60,0,0,1853,0.0,46,14,50.0,43.92547324730833,0.0,0.0,True,True
113928,1,0,29,0,0,14968,0.0,26,3,100.0,0.0,0.0,0.0,True,True
9168,1,0,47,0,0,1780,0.0,44,3,50.0,43.92547324730833,0.0,0.0,True,True
12696,1,0,62,0,0,3169,0.0,52,10,100.0,0.0,0.0,0.0,True,True
468,1,1,68,0,468,61,0.0,64,4,1.5384615384615383,43.124825529190005,43.87,0.0,True,True
224208,2,2,89,72,2268,10469,0.0,72,17,33.333333333333336,80.96439876060752,0.0,0.0,True,True
2999784,1,0,6,0,0,1440490,0.0,6,0,20.0,44.35434364298495,0.0,0.0,True,False
8052,1,0,140,0,0,1293,0.0,77,63,100.0,0.0,0.0,0.0,True,True
11340,1,0,45,0,0,1709,0.0,33,12,50.0,43.92547324730833,0.0,0.0,True,True
10536,1,0,49,0,0,2241,0.0,39,10,50.0,43.92547324730833,0.0,0.0,True,True
2294688,1,0,994,0,0,30299,0.0,539,455,1.2658227848101269,72.10478570468804,0.0,0.0,True,False
432,1,1,36,0,432,116,0.0,34,2,2.857142857142857,47.77985857779703,0.0,0.0,True,True
2608188,1,1,266,0,2608188,40376,0.0,149,117,2.9411764705882355,74.40069844706947,0.0,0.0,True,True
1836,1,1,23,0,1584,158,0.0,19,4,5.555555555555555,53.005176057521865,48.33,0.0,True,True
588,1,1,43,0,588,114,0.0,31,12,5.0,57.57274876189254,39.06,0.0,True,True
90960,1,0,186,0,0,2706,0.0,135,51,33.333333333333336,40.67491405440623,0.0,0.0,True,True
2628,1,1,9,0,2628,376,0.0,6,3,20.0,84.30273423798305,95.39,0.0,True,True
516,1,1,21,0,516,254,0.0,13,8,10.0,72.90373172890396,79.09,0.0,True,True
